Node,SimClock,CoordX,CoordY,waitTime,clusterHeight,avgCluster, avgNodesPerCluster, FreeBufferSpacePercent, reward, iteration
p6,2000.0,2768.346438619796,964.391986215462,2100.0,1.05,2.0,1.0,15.659139999999999,-0.44945376000000004,1
w102,2000.0,2464.5409169752097,1870.5026405024764,2100.0,1.0,1.0,2.0,28.12464,-0.25000575999999997,1
c60,2000.0,2492.111177748535,1110.211572330445,1900.0,0.95,2.0,1.0,34.8655,-0.142152,1
w106,2000.0,2909.4268930463245,1506.5071033886259,1900.0,1.0,2.0,1.0,17.91364,-0.41338176,1
w147,2000.0,2313.269506519052,993.7068616852167,2100.0,0.95,1.0,3.0,10.13162,-1.5,1
w140,2000.0,2629.070171835212,1856.1299795875748,2000.0,1.0,2.0,1.0,15.47086,-0.45246624,1
w135,2000.0,2333.317920442953,991.4505632215929,2000.0,0.95,1.0,3.0,18.277540000000002,-0.4075593599999999,1
c56,2000.0,2895.881351531699,1475.190897097539,2100.0,0.95,1.0,2.0,14.69552,-0.46487168,1
w121,2000.0,2449.8805228185283,1871.9224014230376,1900.0,0.95,2.0,1.5,39.074619999999996,0.42519391999999995,1
c94,2000.9999999992756,2505.2284637319412,980.7587368453851,1900.0,0.95,1.0,2.0,0.0,-1.5,1
c95,2002.8999999992739,2328.1486539117313,992.0323253588238,1900.0,0.95,1.0,3.0,14.41868,-0.46930112,1
p38,2003.1999999992736,2220.9515985853254,1781.2793312557176,1900.0,1.0,1.0,2.0,14.15476,-0.47352384000000003,1
p20,2003.1999999992736,2238.245759265975,1805.7021662053717,2000.0,0.95,1.0,2.0,19.11974,-0.39408416,1
c85,2003.1999999992736,2601.4025531033985,1858.3489508768544,2000.0,1.0,2.0,1.0,15.47086,-0.45246624,1
w123,2003.2999999992735,2780.22615397091,963.6370743507117,1900.0,1.0,2.0,1.0,26.560859999999998,-0.27502624000000003,1
c90,2003.3999999992734,1362.1612215754124,1435.7849255487376,2100.0,0.95,2.0,1.0,13.572500000000002,-0.48284,1
w111,2003.6999999992731,2503.520268558088,1109.3965005134778,2100.0,1.05,2.0,1.0,37.74914,-0.09601376,1
t152,2003.899999999273,2545.338115778625,978.2849612907837,2000.0,1.0,1.0,2.0,1.3580480000000001,-1.5,1
p14,2003.9999999992729,2425.5951030174338,1874.398485671657,2100.0,1.0,2.0,1.0,19.545460000000002,-0.38727263999999995,1
c61,2004.2999999992726,1229.8306314157292,1458.8322075893236,2100.0,1.0,2.0,1.0,10.46514,-1.5,1
w130,2006.1999999992709,1391.5812315158619,1447.408357363577,2000.0,1.05,2.0,1.0,13.572500000000002,-0.48284,1
p48,2006.4999999992706,1257.4622158667432,1454.8128688332515,2000.0,0.95,2.0,1.0,10.46514,-1.5,1
w143,2006.5999999992705,1878.9089523030132,1305.938395884165,2000.0,1.05,2.0,1.0,11.6008,-1.5,1
c64,2006.6999999992704,1873.5646264152329,1301.9685503536143,1900.0,0.95,2.0,1.0,14.75076,-0.46398784000000004,1
w107,2007.4999999992697,2390.947669881473,987.7988847600142,1900.0,1.0,1.0,2.0,17.69726,-0.41684383999999997,1
w142,2011.7999999992658,1646.4560564741798,1262.818353364447,2000.0,1.05,2.0,1.0,12.79186,-0.49533024000000003,1
w133,2013.4999999992642,1433.3888989721133,1368.4694620694825,1900.0,0.95,2.0,1.0,19.64422,-0.38569247999999995,1
c65,2014.0999999992637,442.28844570357614,540.3988323506719,2100.0,0.95,1.0,2.0,17.6737,-0.4172208,1
c84,2014.4999999992633,1635.6859173220275,1261.7569025529517,1900.0,1.05,2.0,1.5,12.79186,0.004669759999999995,1
c53,2018.5999999992596,1912.6993247265323,1010.8483158416204,2000.0,1.05,2.0,1.0,13.725399999999999,-0.48039360000000003,1
w145,2021.499999999257,1938.633211838879,992.0843890344267,2000.0,1.0,2.0,1.0,13.725399999999999,-0.48039360000000003,1
c81,2023.8999999992548,1707.6558657071307,2572.8118264102427,2000.0,1.05,1.0,2.0,12.2402,-1.5,1
c68,2026.4999999992524,1706.9871264866276,2570.7364519522253,2000.0,0.95,1.0,2.0,12.81062,-0.49503008,1
c98,2029.4999999992497,1663.2069055398301,881.7973029522353,2100.0,1.0,2.0,1.0,33.64872,-0.16162048,1
p31,2032.7999999992467,1679.3280211796198,903.5975740515911,2000.0,1.05,2.0,1.0,15.81034,-0.44703455999999997,1
c78,2037.7999999992421,3019.100183077193,1660.9672740659244,1900.0,0.95,1.0,2.0,12.37668,-1.5,1
c77,2037.7999999992421,3037.229106211072,1684.5625296334306,2100.0,1.05,1.0,2.0,15.24188,-0.45612992,1
c80,2039.6999999992404,2412.322854066878,802.987454526694,2100.0,0.95,2.0,1.0,25.660480000000003,-0.28943231999999997,1
w112,2042.5999999992378,2381.2231487988097,810.1663016923098,2000.0,1.0,2.0,1.0,14.41954,-0.46928736,1
c72,2057.0999999992246,2912.798983402695,119.12254731098272,2100.0,0.95,1.0,2.0,11.1102,-1.5,1
p30,2060.2999999992217,1939.9099276664276,1391.049349383638,1900.0,1.0,2.0,1.0,12.57672,-0.49877248,1
